,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
35073,5da8716e17a3de1c,Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my m,1,0,1,0,1,0
156109,c91ed27a0ee9b6ef,"Oppose. Spelt with the accent in his own books, on the Amazon page and in Who's Who (whose entries are written by the subject). He clearly spells his own name with a grave and since he is a British person we should follow suit.",0,0,0,0,0,0
87304,e9976adfd109e154,"""

 Go fuck yourself 

""""and the creator isn't the only person who has worked on the article"""". The diff1 diff2 from creation to present proves you otherwise. I will accept your apology now. -  """,1,1,1,0,1,0
124620,9aaa3e736cb966e1,"""

 """"Silly"""" from Dr.K. and now """" """"paid"""" supporter"""" from . I think, the insults of Hellenic-POWed users to those who insistingly support neutral/objective stance will continue as long as they are being punished.  """,0,0,0,0,0,0
92563,f78626589d01630e,"Merge with Media Theory  revisit 
Just to give an international perspective: German media theory is certainly not media studies - it is an area of its own, with overlaps to what is called media studies elsewhere. The German term is Medienwissenschaften (media sciences) and is as much involved in philosophy and science as it is in popular culture. We'll need to make a proper reworking of this page, and possible separate out media theory on its own right.",0,0,0,0,0,0
131866,c19c8916605bb888,GO FUCK YOURSELF. IT'S AS SIMPLE AS THAT. I have a proxy server with access to over 100 domains so I will continue editing wikipedia.,1,0,1,0,1,0
140563,f02d5ad5e882f600,ILL COME TO YOUR HOUSE ND MAKE U SORE BETWEEN UR LEGS,0,0,0,0,0,0
50968,8850a90a53d052c3,Please be bold and make any changes you feel are appropriate.,0,0,0,0,0,0
109320,48a6c963fdfc9aad,""": Hi Hanely, and others,

First, a further clarification on the concept behind wikipedia, neutrality is a fundamental pillar, but there are two others as well, no original research and verifiability.  This takes us into the """"weasel words"""" you mention, which it's true is an area where improvements are needed with the article.  A reader should be able to independently check everything written in a wikipedia article should they want to, and as such, wikipedia is more about providing verifiable information rather than what a given editor simply thinks or believes is """"true.""""  You specifically cite the Criticism section, and I agree.  """"Plagiarism"""" has evolved the furthest of the three subsections IMO and is solidly referenced with verifiable sources (I think the believer stance(s) aren't presented as well as they could though), and the same should probably be done for """"Science"""" and """"Revelation"""".  For instance, one thing that can be done for """"Revelation"""" is cite the low book sales and distribution of the TUB instead of the simple current statement that it isn't widespread.  """"Peacock terms"""" have been an ongoing challenge from my perspective, commonly inserted throughout the article in a way that aggrandizes the book, but I think this is currently toned down.

What I'm hearing from you Hanely overall is a suggestion to focus on TUB alone, make the article perhaps a book summary with some history added, and put everything else in other articles.  It is one way to go, and you specifically mention Criticism-related topics as being placed elsewhere.  This would also need to be true of the adherents section and anything """"pro"""".  I don't agree with this tactic however, for reasons of wikipedia policy and overall usefulness to the average reader.  What makes TUB interesting and worth writing & reading about is that it purports to be more than a typical religious book, and people accept it as such.  I think that is a highly intertwined element of the TUB topic, and it fits in this article, and by the same token the reasons people *don't* accept it as such is part of the story.  I think it is a challenge to have the article reflect these differing perspectives, but that's a basic challenge involved with wikipedia articles in a nutshell.  Writing separate articles for separate points of view is discouraged.  See POV forking.

I think there needs to be a top-level article that is a summary of The Urantia Book basics, its teachings, its history, and those who are pro and con on topics related to it.  Other articles can then develop certain topics in more depth, if needed or wanted.  I don't see why the top-level article shouldn't be this one, it already serves as that, and other similar topics on wikipedia are structured the same way (for instance A Course in Miracles isn't a simple book synopsis & some words about the history, but covers pro and con viewpoints, as does Book of Mormon, which also has a plagiarism section).  I certainly do not accept that for some reason everything to do with Criticism should be tucked away in separate articles.  This is inherently biased toward the idea that the main wikipedia article is only for those seeking viewpoints where nothing negative is said.  Audiences also come to learn about contrary viewpoints, and those viewpoints are just as valid.

On the points you brought up, my thoughts:

1.  I've seen a tendency over the 1+ year I've followed this wikipedia article off and on for people to add many digressions to the article.  And understandably so, TUB is enormous and has thousands of interesting details and side stories.  But not all will fit in the main article.  I've seen multiple people each add a few sentences here and there, and over time, the article has become enormous and unfocused with all sorts of illogical disorganized digressions.  Like you say, this article can stand to be streamlined (you should have seen what it's been like before!).  IMO, the Lucifer rebellion story, while interesting, doesn't quite make the cut in terms of being essential enough to mention on the main page.  Perhaps an article summarizing TUB's view of the history of earth is worthwhile to build up?  The Lucifer / Caligastia / Satan story would fit in article such as that, for example.

2.-5.  Like I've said, Criticism is appropriate to have, as is the view of believers, and a POV fork is contrary to wikipedia standards.  In terms of Gardner specifically, despite any opinions on his conclusions about TUB, his book is one of the few published about TUB to analyze it from a nonbeliever perspective and it's entirely appropriate to use and cite as reference material for the article.  I say that even though I'm not personally convinced by arguments he makes.  I've read his book, have access to a copy, and can make edits regarding i",0,0,0,0,0,0
24288,401df64b586bb209,http://comm.colorado.edu/~jacksonj/research/coon.pdf There look at my talk page Ryantheravensfan1. It is proof the discussion and citing of the mans work was a fraud. If you try to make this bullshit again I am reporting you.,1,0,1,0,0,0
84605,e25f7d3f80ec67b4,"DUE TO MY INSANELY HIGH LEVEL OF WIKISTRESS, I WILL NOT BE RESPONDING TO MESSAGES.",1,0,0,0,0,0
29137,4d3d0dc0d3efa169,"go fuck yourself 

john cline sucks cock",1,0,1,0,1,0
123697,958fce5a67048b4f,I HATE THIS GUY HE IS SOME INTERNET THUG THAT THINKS HE KNOWS WHAT REAL HIP HIP IS ABOUT HE LIVES IN DAYTON FROM THE MEAN STREETS OF DAYTON YOU LITTLE INTERNET POPO.,1,0,0,0,1,0
149206,58e756534c67c8e7,"Bone to pick 

What makes you the rulemaker on all things bears related?  Bad and Good go into articles.  Get a life and stay off wikipedia for a good month or two.  People like you are the reason that wikipedia is a joke.  Too much of your personal feelings goes into making sure nothing you don't agree with gets put into an article.  Last I checked your job wasn't encyclopedia writer, so let others ideas be put into articles.214.13.192.187",0,0,0,0,0,0
139702,eb999be610587eec,"My Life Would Suck Without You 

My Life Would Suck Without You now passes WP:NSONGS as it has been mentioned/reviewed by Rolling Stone!-",1,0,0,0,0,0
107623,3f544b01be4df177,"Hitlers sex children 

Its obvious that shitler only wanted these kids for his own perverse sexual desires. I demand you change the article and if you dont then you're a fucking racist scumbag who needs to be sent to the moon with the rest of the goonbats",1,0,1,0,1,0
33465,593812edf8fd89b6,"""
If it's referenced properly there shouldn't be a problem.  There's certainly precedent. nutsaB """,0,0,0,0,0,0
58034,9b6c1f87bf5be2d2,"Comparing whales to fat people 

Hi. Please don't compare whales to fat people. Most whales (e.g. rorquals) are streamlined and slender, thus beautifully adapted to their environment. Fat people? Not so much. Thank you.",0,0,0,0,0,0
154994,b76bc58ce13567ea,"""

 Expanding Earth Bibliography 

Dear Vsmith,

Dougweller wrote to me, that it is not possible to insert a link to a publication without owning the copy-right, because this would be a copyright-violation. So if you delete links inserted by the copyrightholders themselves calling it self-publication, you cannot insert any links at all. Then all articles you referred to in the """"Notes"""" are eiter self-publications or copyright-violations, and there are many links to various scientific artiles on your pages.""",0,0,0,0,0,0
54884,92ab0b67073fccdb,"STOP vandalizing, you IRANIAN BASTARD!",1,0,1,0,1,0
135798,d659126c8c11a10c,"Fuck you too, you fascist piece of shit.",1,1,1,0,1,0
80678,d7d72781940ce4eb,", and in particular the fact that there is a distinction between A7 and existence/reliability of a source.",0,0,0,0,0,0
41952,6fe9bd609d2e7e12,"So that's the bullshit they teach you in England? No wonder you Europeans are so fucked up and genocidal. You Christians and Muslims gained all your territories by right of conquest and thinks it's okay, yet you think Jews are evil Nazis when they do the same thing.

You are obviously British, and you sound like a Communist. Communists are just as evil and very similar to Nazis. You are the ones who started the slavery in the Americas in the first place. You are the ones who illegally colonized and occupied the world in the first place. You are the ones who made it illegal for Jews to return to Israel and denied them entry into Britain and British colonies during World War II, thus helping the Germans carry out the Holocaust. Furthermore, you show yourself to be a typical anti-Semite. You lie and say that Jews colonized Israel. Jews did not colonize Israel. Jews returned to Israel. The Arabs were the ones who illegally colonized and continue to illegally occupy Israel. Nableezy is also an anti-Semite. He is an Arab supremacist and claims that Israel is “genocidal, Jewish supremacist, racist, terrorism sponsor, human rights violater (sic), misogynist, fanatic, and repressive.” Europeans and Muslims should not be allowed to edit articles about Jews. I suggest you cease and desist from defaming Jews and withdraw yourselves from the so-called “WikiProject Israel Palestine Collaboration.”",1,0,1,0,1,1
122793,90dc003bbf58e060,is it because it is of my naked mum having sex with me? i am indeed a faggot who sucks his dads cock. fucking homo. go fucking die you piece of shit,1,1,1,0,1,1
34567,5c509db4e9142c14,"|class=Start|importance=Mid}}
{{R&B; and Soul Music",0,0,0,0,0,0
139202,e908e5683a691e17,""":Coren: I've substantially responded on my talk page. It might be better to respond there, if you are minded to respond, to keep this somewhat centralised.   talk 

""",0,0,0,0,0,0
70434,bc73965c3d792073,"That's the most ridiculous accusation I've ever heard, and I don't think it needs an answer.",1,0,0,0,0,0
56862,97fe11ba1e513d53,"October 2009 (UTC)

You really are a stupid person and must be very lonely and have a lot of time on your hands. The citations do support the FACTS I reported. They are articles from each year from the Maitland Mercury reporting on the FINALS and all are written about our team, how the hell do they not support those FACTS. I am also a player in the team and they mr pain in the ass are not CLAIMS.Wiki is a big place, why don't you stay away from my team and my town.  05:15, 5",1,0,1,0,0,0
63687,aa699b024b46da4a,"do you know what i say gas the mother fucking jews 

ANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEAC",1,1,1,0,0,1
41099,6da9c7b5f1e9cc08,"I think it is important to but http://en.wikipedia.org/wiki/Mohammed_Farah, as good image of somali people",0,0,0,0,0,0
147250,39411f0f74479b28,"yo bro 

i'd understand that you 24 hour banned me if you could explain why.

 fuck you 
you're a fag",1,0,0,0,0,0
34828,5d06d7825b2bdea1,"""::: You are correct on one point, you don't know. If people do not understand simple rules and revert correct edits with reasons like """"vandalism"""" I have perfect right to respond in the same manner. As such """"nationalist"""" is a point of view, if someone calls a """"New Zealander"""" an """"Australian"""" and you correcting it makes you a nationalist, I may as well be one. If you like to block me for that, go ahead. I'm not emotionally attached to WP unlike some of you guys.   

""",0,0,0,0,0,0
118909,7b861c8ca4ffe80d,You sound like an idiot.,1,0,1,0,1,0
107348,3ddcd903839fffed,"""

Leave it for now, I'm getting the folks from over WP:WikiProject Airlines to provide some neutral third-party assessment on the above matter, the note I left is at Wikipedia talk:WikiProject Airlines#Request for comment.  ♠♣♥♦™№1185©♪♫® """,0,0,0,0,0,0
84638,e275c8d47b2fea7e,"What the hell? 
Woah.. what was this edit about? -66.51.147.57",1,0,0,0,0,0
77945,d0b155b1865ae9d2,", 20 November 2010 (UTC)

This user: User talk:93.97.59.17 86.181.1.250  16:03",0,0,0,0,0,0
70819,bd86903c2fdb7faa,"Japanese Scene 

The largely neoclassical Japanese power metal scene should be mentioned somewhere.",0,0,0,0,0,0
146623,2f15261b8764b60d,I know what the HECK you are doing you damn User:CharlieEchoTango from sh*ting hell!!,1,0,1,0,1,0
82495,dcb39c6bcb5d998f,"""

Which document? The """"Fossil range"""" box is used to give a time, e.g. in Dinosaur it says """"235–65 Ma"""".    """,0,0,0,0,0,0
2494,06a44c69b4c3fb43,"In response to your recent comment on my talk page. 

I suggest you contract cancer.",1,0,0,0,0,0
77728,d03106050bfb9406,REDIRECT Talk:2004 WWE draft lottery,0,0,0,0,0,0
143045,fce8f2842b88e25b,", 25 April 2008 (UTC)

Sehend and Babakkhorramdin currently appear to be engaged in an edit war. Note that the three-revert rule prohibits making more than three reversions in a content dispute within a 24 hour period. Additionally, users who perform a large number of reversions in content disputes may be blocked for edit warring, even if they do not technically violate the three-revert rule. If you continue, you may be blocked from editing. Please do not repeatedly revert edits, but use the talk page to work towards wording and content that gains a consensus among editors. If necessary, pursue dispute resolution. This has nothing to do with the merits of the dispute, it has to do with cooperative editing.   

Dear 
Thanks for your message. I didn't start editing war.  started it by forcing Persian script to Azeris. even we accept persian script, He added a word that is not grammatically correct in Azeri with Persian script. to solve it i added west Azerbaijan translation in Azeri in both Latin and persian scripts. i don't know why he thinks we should follow his idea to use Fazeri (a fake language which uses completely Persian words with one azeri verb at the end). For instance in Azeri similar to English adjective comes first followed by a noun. But in Farsi noun comes first.  wanted to force Perisan words for west( غربی )and Azerbaijan(آذربایجان) and suggests using غربی آذربایجان. hence, we don't use غ as the first word in Azeri.    22:35",0,0,0,0,0,0
74731,c7e930ded8687e1f,"BAN ME AND DIE 

^_^",1,0,0,1,0,0
